ID,Age,Gender,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Family_Communication,Weekend_Usage_Hours,Addiction_Level
679,17,2,4,4.4,7,55,9,1.5,5,3,9,1,1.1,131,15,0.3,1.5,1.4,5,7.5,7.9
680,15,1,2,3.8,4,89,2,0.0,5,6,1,1,0.9,56,19,2.7,1.9,1.9,1,5.0,10.0
681,17,2,2,9.3,6,88,2,0.7,6,2,3,0,1.2,106,9,2.0,0.3,0.9,8,8.6,10.0
682,14,0,4,3.8,6,95,4,0.8,7,1,2,0,1.5,32,9,3.1,1.6,1.4,5,2.1,7.8
683,14,1,1,4.8,6,77,5,0.2,7,3,2,0,1.0,62,18,2.9,1.1,0.1,9,6.1,10.0
684,18,1,0,4.9,7,94,3,1.3,6,9,8,0,0.6,109,13,2.3,0.0,0.0,6,5.4,8.5
685,13,2,1,5.7,6,74,1,0.4,8,3,9,1,1.0,63,20,2.6,0.0,1.7,8,3.3,10.0
686,16,0,2,5.4,4,88,8,1.3,1,7,9,0,1.7,131,8,2.9,1.7,0.2,2,5.4,10.0
687,14,1,1,6.6,8,81,8,1.4,6,4,1,0,0.7,87,17,3.8,2.6,1.0,4,7.1,10.0
688,17,2,1,6.5,6,64,10,0.0,4,5,1,1,1.1,50,6,3.0,1.6,0.2,2,6.2,10.0
689,19,0,4,7.0,5,59,5,0.4,10,8,9,0,0.8,134,11,2.4,1.5,0.4,10,3.5,10.0
690,17,0,5,4.1,6,62,10,1.5,3,8,10,1,1.0,127,15,4.2,1.5,0.3,10,5.3,10.0
691,19,0,5,3.2,4,82,6,0.6,10,3,4,1,1.0,23,11,2.6,2.5,0.9,9,6.9,8.8
692,17,2,0,5.0,7,80,8,0.2,4,4,1,1,1.7,122,16,2.0,2.2,1.2,7,7.4,10.0
693,18,2,5,4.3,4,95,6,1.3,8,6,8,1,0.5,24,13,3.5,2.0,0.0,8,6.9,10.0
694,17,2,0,5.4,7,77,7,0.0,5,4,7,1,1.4,120,12,4.3,0.0,0.4,10,3.1,10.0
695,13,1,5,3.7,4,85,7,1.7,7,2,10,0,2.0,132,6,1.4,1.1,0.1,9,2.0,7.9
696,16,2,5,5.2,6,93,6,0.6,8,8,5,1,0.9,93,11,4.2,2.4,0.3,4,9.3,10.0
697,13,1,4,2.5,7,90,7,0.1,5,2,10,1,1.0,61,7,2.6,1.9,2.4,3,2.1,5.8
698,18,0,2,4.0,5,55,0,1.4,4,5,2,1,1.3,48,18,2.7,3.0,0.7,8,8.3,10.0
699,18,1,4,7.6,7,61,7,2.7,10,3,7,0,1.6,121,5,3.1,1.7,1.9,10,11.6,10.0
700,17,0,2,4.9,4,79,8,1.0,3,4,2,1,1.3,122,12,2.3,1.2,0.6,10,5.0,10.0
701,14,1,1,2.8,4,60,8,0.0,2,4,7,1,1.2,95,9,2.8,0.4,0.5,10,8.1,7.5
702,13,0,1,0.0,4,63,5,0.4,5,10,9,1,0.8,141,18,3.3,0.0,1.0,1,6.1,7.5
703,16,0,5,2.9,6,64,8,0.0,5,7,9,0,1.5,115,14,3.4,1.2,0.4,3,5.1,9.2
704,17,2,1,4.1,7,80,3,0.0,10,8,6,1,0.7,121,17,1.0,0.4,1.1,6,6.2,7.8
705,16,1,0,8.3,5,98,8,0.9,3,9,10,0,1.4,83,7,4.5,0.0,0.8,3,6.1,10.0
706,16,0,5,0.6,5,72,7,0.5,7,2,7,0,1.8,26,7,4.4,2.0,1.0,5,4.5,6.1
707,19,0,3,5.6,4,98,10,0.9,5,5,4,0,0.8,108,16,4.2,3.0,0.4,2,9.1,10.0
708,14,2,2,6.5,5,83,0,1.5,10,4,3,0,1.5,64,11,2.2,2.7,1.0,2,7.3,10.0
709,17,1,0,5.3,6,54,4,1.3,3,4,3,0,0.7,146,6,2.3,2.4,1.1,9,8.0,10.0
710,17,1,5,4.0,7,52,1,1.4,7,4,5,1,0.7,67,14,2.4,1.8,0.5,8,6.9,8.6
711,15,1,4,11.0,7,59,2,0.4,7,7,2,0,2.1,81,10,1.6,1.6,1.4,8,6.2,10.0
712,15,2,3,6.3,7,83,5,1.3,8,10,4,0,1.6,40,14,4.4,1.3,1.2,2,5.7,10.0
713,14,0,4,0.3,5,64,7,0.4,4,9,2,0,0.0,43,18,2.0,1.1,0.7,6,2.7,5.0
714,16,1,2,4.8,4,61,3,0.6,10,1,1,1,1.7,26,12,1.4,2.5,0.9,10,2.9,9.3
715,19,2,4,4.4,9,100,6,0.5,6,2,6,1,1.4,109,11,4.1,0.7,0.8,5,7.2,9.0
716,19,1,3,6.3,4,57,3,1.3,8,7,8,0,0.5,53,15,2.0,2.0,1.1,7,7.8,10.0
717,17,1,3,6.4,7,66,1,2.2,8,7,8,0,0.5,144,11,1.9,0.4,1.9,4,3.9,10.0
718,18,1,0,4.7,6,88,0,1.0,6,8,6,0,1.3,99,13,2.8,1.3,1.6,7,3.6,10.0
719,17,0,2,4.2,4,74,4,1.1,10,6,1,0,0.6,131,11,2.4,1.5,1.1,6,12.4,10.0
720,14,1,5,5.9,6,89,0,0.7,3,6,9,1,1.3,54,19,3.0,2.3,1.4,8,7.5,10.0
721,19,2,3,8.1,8,86,0,1.0,3,6,2,1,1.1,73,19,1.8,2.0,0.0,6,5.9,10.0
722,19,0,1,6.4,5,97,7,1.9,5,2,2,0,1.2,55,13,1.6,0.8,1.1,5,6.7,9.9
723,18,0,4,5.1,4,82,8,0.2,1,7,8,0,1.3,127,20,2.2,2.2,1.5,9,3.2,10.0
724,19,2,3,5.3,10,60,6,2.2,6,1,7,0,1.4,93,17,2.3,0.4,0.5,3,6.3,8.3
725,15,1,1,5.6,7,75,9,0.0,3,9,5,1,0.2,72,14,2.0,1.9,0.7,3,3.1,9.9
726,14,1,0,6.7,5,84,6,1.2,2,10,7,0,1.9,60,19,1.4,1.1,1.4,1,3.6,10.0
727,17,0,0,3.8,7,96,6,1.1,4,5,10,0,1.6,122,8,2.0,0.1,0.7,1,9.6,6.4
728,13,2,2,3.5,6,88,9,1.5,8,6,4,1,0.5,130,20,3.9,2.9,1.3,10,5.5,10.0
729,18,0,2,4.5,7,93,1,1.2,3,9,1,1,1.3,70,13,1.7,1.2,0.7,4,5.4,7.6
730,18,0,4,7.8,7,69,2,0.0,4,8,8,0,1.5,68,17,0.4,3.0,1.0,2,5.8,10.0
731,16,1,4,4.1,6,80,9,1.8,8,5,2,0,0.2,73,16,3.7,1.6,2.6,9,4.9,10.0
732,16,2,1,6.3,4,74,7,1.9,8,10,6,1,0.7,129,10,1.5,1.6,0.4,10,6.7,10.0
733,17,0,0,5.4,6,69,9,1.4,4,7,1,0,0.9,132,11,3.8,1.2,0.7,7,6.5,10.0
734,13,2,1,2.4,5,79,10,1.5,5,2,3,1,0.4,34,12,1.4,3.8,1.1,5,5.9,7.9
735,16,2,3,0.0,7,71,6,0.8,6,8,6,0,1.7,98,5,2.2,0.0,1.3,3,11.1,1.4
736,15,1,5,0.3,6,56,2,2.0,1,1,1,0,1.3,135,16,1.1,0.0,1.0,2,5.0,4.1
737,15,1,2,5.2,8,91,9,0.4,6,7,7,1,1.0,91,8,1.8,0.0,1.0,6,6.1,6.3
738,16,0,0,4.4,9,84,5,0.9,1,2,10,0,0.9,71,13,3.2,1.9,0.0,4,7.9,8.8
739,17,2,1,4.5,9,78,1,1.3,4,8,3,0,1.7,133,20,3.8,1.6,1.5,9,4.3,10.0
740,15,2,4,4.6,7,82,6,0.0,6,9,6,1,0.9,79,20,3.4,0.9,0.0,6,8.3,10.0
741,17,2,2,6.0,6,71,8,1.9,9,10,6,0,0.6,99,17,4.7,0.0,0.7,9,3.5,10.0
742,15,0,5,5.8,9,50,7,2.2,5,7,6,0,1.2,137,12,3.1,1.1,1.3,6,4.1,10.0
743,13,2,4,5.3,8,85,2,1.6,5,4,4,0,1.2,58,11,0.7,0.3,0.0,2,6.8,5.3
744,17,2,4,5.5,7,66,4,2.3,1,8,1,1,0.5,89,7,3.3,3.8,1.1,10,7.7,10.0
745,14,2,5,4.9,5,95,7,0.0,8,2,2,0,0.8,88,17,3.5,3.1,0.7,8,5.4,10.0
746,13,0,4,5.6,8,94,2,0.0,4,6,9,0,1.0,144,5,1.8,0.9,1.8,9,5.7,8.0
747,15,0,2,4.7,5,58,10,0.5,2,10,5,1,0.6,65,17,2.2,0.7,1.0,8,6.1,9.7
748,17,0,3,3.4,6,87,2,1.1,9,1,4,1,0.5,80,11,2.2,1.2,1.7,6,6.3,7.2
749,18,0,0,3.9,5,73,9,1.5,3,4,3,1,1.5,103,11,1.6,0.7,0.3,5,5.0,7.6
750,13,1,0,3.4,6,85,2,1.2,1,2,7,0,1.0,97,13,3.2,0.0,0.3,6,5.2,8.1
751,14,2,5,4.5,5,92,10,1.1,3,10,10,1,1.1,144,12,3.7,0.6,1.3,2,7.2,10.0
752,14,0,0,7.3,7,87,5,0.0,2,2,8,0,0.5,35,8,1.9,3.3,3.0,6,6.5,10.0
753,13,1,3,7.5,5,68,6,0.8,7,6,7,0,0.0,84,11,2.1,2.7,0.1,3,6.8,10.0
754,19,0,4,8.5,7,98,2,0.6,8,8,1,1,1.5,73,12,1.0,1.0,0.3,4,5.5,10.0
755,19,0,4,1.4,8,63,1,1.1,3,4,10,1,0.9,130,20,3.2,1.1,1.5,4,5.5,8.1
756,17,2,3,3.0,5,66,6,0.7,2,3,2,0,1.4,39,14,2.8,1.8,0.3,2,6.5,8.3
757,14,2,4,3.9,6,50,10,1.2,2,1,9,0,0.8,115,19,2.3,1.6,1.8,10,3.5,10.0
758,15,2,3,5.7,7,51,6,1.9,4,3,2,1,1.2,121,9,1.7,0.7,0.7,6,2.0,8.5
759,17,0,0,0.8,5,65,10,1.8,5,6,1,1,1.2,128,11,3.2,2.3,2.4,3,7.2,8.2
760,16,1,3,8.1,9,65,6,1.8,6,2,1,1,0.6,38,20,0.0,1.3,0.4,5,2.8,9.4
761,18,1,1,6.8,8,95,5,0.4,1,5,7,1,1.0,103,8,1.2,1.1,0.9,2,12.6,8.6
762,13,0,5,4.6,6,93,9,1.7,9,2,5,0,1.0,150,16,3.7,0.6,0.7,4,3.4,10.0
763,16,2,1,4.1,6,69,1,2.5,9,6,1,1,1.1,119,15,1.5,3.1,1.4,5,6.3,10.0
764,13,1,3,7.7,7,58,0,1.4,9,10,6,0,1.2,41,9,3.6,1.2,1.7,10,4.7,10.0
765,13,0,1,3.9,6,98,4,1.5,8,3,7,1,1.0,84,9,1.5,0.8,1.1,8,3.7,6.5
766,13,0,3,3.0,4,67,0,0.8,7,8,2,1,0.2,42,19,1.1,2.6,1.4,6,6.8,9.2
767,18,1,1,7.8,8,71,9,1.2,6,5,10,1,0.7,41,10,2.9,3.1,0.9,2,7.4,10.0
768,16,1,4,6.5,8,85,8,0.8,2,5,4,0,1.0,135,13,5.0,1.8,0.6,2,7.5,10.0
769,17,2,5,1.9,6,99,7,1.4,1,4,3,1,1.7,80,18,2.2,0.9,1.4,4,6.0,6.8
770,14,0,3,4.6,5,88,9,0.6,8,10,1,1,0.7,129,15,1.1,2.0,0.4,9,8.1,10.0
771,13,0,1,7.5,5,70,8,0.9,4,10,5,0,1.4,52,13,1.4,1.4,1.0,8,3.5,10.0
772,13,1,1,2.4,6,63,2,0.5,7,8,5,0,0.9,88,5,1.1,1.8,0.9,1,4.5,5.0
773,18,0,3,7.2,9,74,0,0.0,4,1,4,0,1.3,140,14,2.5,0.7,0.9,8,10.7,10.0
774,16,2,1,0.0,5,94,2,0.6,5,5,7,1,1.4,122,18,3.2,0.9,1.7,6,5.7,7.3
775,18,2,5,1.8,6,75,8,0.4,2,3,4,1,0.9,67,16,1.6,1.2,0.0,6,3.1,5.8
776,13,0,0,6.2,6,73,4,1.2,7,8,6,0,1.1,24,16,1.8,2.9,1.1,5,9.0,10.0
777,14,2,0,2.0,7,58,8,1.8,3,9,1,1,2.0,92,6,1.4,1.0,0.5,10,6.9,3.8
778,19,2,2,3.1,6,84,3,1.4,5,5,10,1,1.4,85,7,2.2,2.3,2.1,1,8.7,7.3
779,19,1,5,8.1,7,77,1,0.9,7,4,8,0,0.9,22,6,3.4,0.8,1.9,4,5.6,10.0
780,18,2,0,3.0,7,92,3,1.1,9,8,6,1,0.4,72,13,3.5,0.5,1.6,5,5.0,7.4
781,17,2,0,3.8,6,78,1,0.7,6,6,8,0,1.0,25,7,2.8,2.5,1.6,3,7.0,7.8
782,13,2,0,3.9,8,98,7,1.1,9,2,5,1,1.2,82,8,4.1,2.0,1.6,6,11.0,9.0
783,18,2,0,5.1,4,98,1,0.9,10,1,7,1,0.6,138,20,1.9,3.2,1.1,6,5.2,10.0
784,17,0,4,3.8,6,65,10,0.3,1,5,7,0,1.5,83,18,3.1,3.7,0.9,2,5.9,10.0
785,16,0,5,5.8,6,53,10,3.4,7,5,2,1,0.6,100,5,2.5,0.2,0.9,6,6.9,8.3
786,19,1,1,3.9,7,66,5,0.0,10,10,1,1,1.0,84,13,3.9,1.6,0.0,5,4.7,10.0
787,18,1,5,8.4,6,88,6,2.5,3,2,2,0,0.8,77,8,1.0,2.5,2.4,4,4.4,10.0
788,16,1,4,4.8,7,50,8,0.9,2,4,8,1,0.9,102,8,2.2,0.6,1.7,4,8.9,7.4
789,18,1,2,3.4,7,82,4,0.0,6,9,2,0,0.6,51,12,2.1,0.0,0.0,1,3.0,5.3
790,19,1,3,4.7,5,99,7,1.2,5,4,1,1,0.2,36,16,2.6,1.6,1.6,2,0.7,10.0
791,18,1,1,6.8,7,97,7,2.2,3,10,9,1,0.4,126,11,2.2,2.6,0.8,10,5.9,10.0
792,13,2,3,6.7,5,59,6,1.0,4,1,1,1,1.5,68,16,5.0,1.1,0.4,5,2.0,10.0
793,15,0,4,1.5,9,95,4,0.0,8,8,3,0,0.5,84,10,3.3,2.5,1.4,1,4.6,6.5
794,13,0,5,3.8,5,96,3,0.4,10,1,9,1,1.3,102,15,3.1,1.5,1.2,5,6.8,10.0
795,14,0,5,3.7,6,65,6,0.1,2,4,10,0,1.0,149,10,1.1,0.1,1.0,6,6.1,6.4
796,19,0,3,1.5,6,87,1,0.9,6,1,10,1,1.4,45,8,3.1,2.8,0.7,4,8.1,6.7
797,15,0,1,6.6,7,61,5,1.5,6,2,2,1,0.0,28,20,3.0,1.8,1.2,2,5.4,10.0
798,16,2,2,6.6,9,64,10,0.9,6,1,8,0,0.8,147,10,2.8,1.0,0.9,7,7.8,10.0
799,13,2,3,4.3,7,72,8,0.6,3,4,9,0,1.5,32,16,4.1,0.9,1.0,3,8.0,9.4
800,16,1,5,7.8,5,96,8,1.6,8,1,6,0,1.1,74,18,2.7,3.2,0.0,6,6.8,10.0
801,18,1,3,7.1,6,86,10,1.7,4,7,8,1,0.9,45,5,4.0,0.1,1.3,7,7.1,9.7
802,17,2,3,5.3,4,96,8,1.5,5,5,3,1,2.0,108,18,2.3,1.2,1.3,1,4.8,10.0
803,16,1,1,5.9,7,77,9,1.1,1,10,8,0,1.5,132,10,1.7,0.6,0.4,3,3.6,8.9
804,17,1,2,4.5,6,81,8,0.1,2,7,9,1,1.2,58,18,2.1,2.5,0.9,2,4.8,10.0
805,17,0,3,5.6,9,95,4,0.0,8,5,4,0,1.3,128,5,0.2,1.9,0.3,2,8.3,6.4
806,19,1,2,4.5,6,85,0,1.7,1,5,7,0,1.1,143,7,2.1,0.7,0.7,4,6.3,8.2
807,14,0,3,6.9,6,85,7,0.9,6,10,4,1,1.5,124,12,1.7,0.7,0.6,6,6.6,10.0
808,13,2,0,4.5,6,61,7,1.2,10,6,5,1,1.4,121,15,0.9,0.7,1.4,7,6.5,8.3
809,13,1,5,7.1,8,55,10,1.6,3,6,7,0,0.9,29,13,3.5,2.9,1.4,1,9.2,10.0
810,16,2,3,4.9,6,52,10,1.3,9,3,1,0,0.1,67,10,0.8,1.8,0.6,8,6.1,7.5
811,14,0,3,4.9,6,58,10,0.0,10,4,3,1,1.7,72,19,1.3,2.2,1.3,2,10.6,10.0
812,19,1,2,4.8,9,75,2,1.4,2,7,7,1,0.4,103,16,1.6,2.4,1.0,1,5.3,9.5
813,19,0,0,7.6,7,61,0,2.1,4,8,4,1,0.6,100,16,2.1,2.4,0.8,7,5.6,10.0
814,17,0,5,3.2,5,60,5,0.7,3,9,2,0,1.6,102,19,3.0,0.2,0.0,5,4.8,9.3
815,14,2,1,5.8,9,90,3,0.7,9,2,10,1,0.7,133,12,2.5,1.8,1.0,8,5.6,10.0
816,19,0,3,4.3,6,68,3,1.4,5,7,7,0,0.8,150,6,2.4,1.4,0.0,3,9.8,9.0
817,13,1,0,6.5,4,90,8,2.6,4,5,6,0,1.5,82,19,2.8,2.5,1.3,3,2.0,10.0
818,15,0,1,4.3,7,73,7,0.0,3,4,10,1,2.0,69,15,2.7,1.5,0.6,1,7.5,9.0
819,19,2,2,3.5,5,86,3,1.6,1,7,3,0,0.5,65,8,0.5,1.2,0.0,2,7.6,5.3
820,13,1,5,5.9,8,65,8,0.3,5,10,1,1,1.8,140,17,2.3,3.2,0.5,1,7.5,10.0
821,15,1,0,2.5,3,87,1,1.1,7,3,2,0,1.3,55,12,3.9,1.3,3.0,8,7.9,9.5
822,14,0,0,5.5,5,92,7,0.6,10,10,5,0,1.2,91,12,2.3,0.9,1.4,1,3.9,10.0
823,18,2,1,4.2,6,51,1,1.2,1,1,4,0,0.0,27,8,1.9,1.5,0.4,8,10.6,6.6
824,16,1,5,0.0,7,78,3,0.3,8,10,8,0,0.4,22,14,4.0,2.3,0.3,1,7.3,6.0
825,16,0,0,8.3,3,54,4,0.3,1,1,3,1,0.2,75,8,2.1,2.2,1.1,9,5.8,10.0
826,17,2,3,6.1,7,75,8,1.7,5,1,9,0,0.4,69,18,2.3,0.5,1.4,2,8.4,10.0
827,14,1,0,4.4,6,98,9,1.8,8,5,4,1,1.0,95,14,3.7,1.8,1.8,3,6.8,10.0
828,15,1,0,2.2,5,72,4,1.4,5,1,1,0,1.1,131,5,1.9,1.5,1.7,4,4.7,6.5
829,15,0,2,7.0,8,68,4,0.6,3,5,7,0,1.1,148,17,3.5,2.1,1.3,1,5.4,10.0
830,14,1,5,3.8,6,78,7,1.4,2,9,2,1,1.2,43,7,2.0,2.3,0.7,2,8.0,7.0
831,14,1,4,5.7,6,99,3,0.5,6,10,1,1,1.2,36,6,3.0,1.0,0.7,2,6.4,8.5
832,15,0,3,9.1,6,56,7,0.1,10,1,1,1,0.0,120,9,1.5,2.3,1.5,8,3.4,10.0
833,19,2,0,2.8,7,64,1,0.1,4,2,4,1,0.8,109,12,3.1,1.0,1.6,7,4.6,7.9
834,18,0,2,2.2,6,83,2,1.4,8,1,6,1,0.5,92,16,1.1,2.0,1.0,5,4.4,7.3
835,18,0,1,7.0,5,96,5,1.8,2,8,4,1,0.8,142,7,3.0,2.3,0.8,10,4.7,10.0
836,16,1,3,4.8,8,59,5,0.7,5,6,1,1,0.6,93,9,1.6,3.0,1.7,8,6.2,8.8
837,15,1,4,7.9,9,84,8,1.1,3,2,1,0,0.7,47,20,4.7,1.0,0.6,6,6.8,10.0
838,15,0,3,3.9,7,90,2,1.0,6,5,7,1,0.5,143,16,2.4,0.3,0.0,6,5.2,9.2
839,13,1,4,5.2,6,61,10,2.4,5,6,8,1,0.8,136,7,2.6,3.5,0.7,1,5.7,10.0
840,15,1,2,5.9,7,84,8,0.6,10,2,1,0,1.5,49,12,2.0,1.7,0.2,10,4.1,9.3
841,14,1,2,2.1,4,57,1,1.0,3,6,7,1,1.0,86,13,2.3,2.1,0.8,9,5.4,8.5
842,18,2,4,4.3,7,78,8,1.6,6,1,10,1,0.9,42,19,2.0,0.0,0.8,9,7.6,7.0
843,16,2,4,5.6,6,96,8,0.5,10,1,1,0,1.2,87,17,3.7,0.3,0.8,10,6.5,10.0
844,18,1,2,5.0,8,55,9,0.3,8,4,7,0,0.7,133,5,1.8,0.1,2.2,7,6.0,6.3
845,19,0,3,6.0,6,77,10,0.7,4,6,5,1,0.9,54,7,2.6,0.2,2.2,5,8.2,7.8
846,18,0,0,3.3,8,72,9,1.4,10,4,5,1,0.0,144,9,1.7,0.6,0.7,4,10.4,5.9
847,19,1,0,4.2,8,81,7,1.6,9,10,8,1,0.4,96,20,1.9,3.8,0.3,10,5.3,10.0
848,17,1,1,5.0,7,74,9,1.7,9,9,5,1,1.0,66,18,3.1,2.2,0.2,9,9.3,10.0
849,19,0,0,7.3,4,73,6,0.8,10,9,8,1,1.2,33,15,2.5,0.6,0.6,3,7.0,10.0
850,17,2,2,7.0,5,50,9,2.1,5,10,1,0,1.3,51,19,2.5,1.8,1.8,10,7.9,10.0
851,18,1,0,3.0,3,66,7,0.0,3,6,9,0,1.4,33,20,3.4,1.6,1.2,6,5.5,10.0
852,17,2,3,6.1,4,85,4,1.4,5,2,7,1,0.1,39,5,2.6,0.4,1.2,5,5.8,8.6
853,18,2,0,3.4,4,85,7,0.2,9,7,7,0,0.0,51,20,2.6,0.0,2.0,6,4.7,8.8
854,15,2,2,6.3,6,71,3,0.4,6,9,5,0,0.8,32,17,2.5,2.8,2.3,6,4.2,10.0
855,18,0,5,4.7,8,73,7,1.4,10,6,8,0,0.7,115,10,2.8,1.7,0.9,6,7.3,9.2
856,19,2,3,6.1,5,75,6,0.4,7,8,5,0,1.8,58,12,5.0,0.2,0.9,4,5.3,10.0
857,17,2,0,5.2,5,53,6,0.1,5,6,4,0,1.1,24,7,3.5,0.6,0.6,2,4.8,8.3
858,14,0,2,4.4,3,94,3,0.0,2,1,2,1,0.2,142,8,3.4,1.0,1.3,7,7.3,10.0
859,16,2,0,3.1,6,59,8,2.3,6,10,2,0,0.6,39,18,3.3,2.3,1.5,2,3.0,9.9
860,15,2,3,6.1,5,99,7,1.7,8,7,7,0,0.2,66,19,4.2,0.0,1.3,7,8.9,10.0
861,16,1,5,7.7,3,71,10,0.0,2,2,5,1,0.9,32,19,4.2,2.8,1.4,5,5.6,10.0
862,18,2,4,8.1,7,84,8,1.0,2,5,7,0,0.9,53,10,2.0,0.0,0.5,2,7.0,9.3
863,15,0,4,5.3,8,99,9,0.7,4,9,3,1,1.3,119,11,0.7,2.9,1.8,4,6.2,9.1
864,13,2,3,4.0,6,51,2,1.0,4,6,3,1,0.3,113,20,3.7,1.9,0.0,4,7.4,10.0
865,14,0,1,4.5,6,97,6,0.8,3,10,10,0,1.0,90,7,3.1,0.4,0.0,8,8.9,8.1
866,15,1,1,5.4,6,80,10,1.3,1,5,8,1,0.8,108,13,1.3,0.7,1.2,6,1.4,9.1
867,18,0,5,5.0,5,77,9,0.4,7,1,8,0,0.4,124,9,3.0,1.5,0.1,9,7.5,10.0
868,16,0,1,4.5,3,74,7,0.8,2,8,4,1,1.2,45,12,2.2,3.0,0.7,7,5.4,10.0
869,16,2,5,2.9,8,76,0,1.6,4,7,6,1,0.7,128,5,1.5,0.2,0.7,4,3.6,4.2
870,19,1,4,4.5,8,100,2,1.9,5,10,5,0,1.0,127,6,2.7,2.4,1.0,2,5.5,9.0
871,18,0,5,7.1,7,99,10,0.2,3,1,9,0,0.7,96,13,5.0,1.6,1.0,7,6.7,10.0
872,18,1,2,5.4,9,57,0,1.6,3,5,3,0,0.1,66,14,1.7,0.1,1.1,6,8.9,6.7
873,13,0,1,5.5,9,57,8,1.3,2,4,10,1,0.8,119,19,2.5,1.0,0.5,6,5.1,10.0
874,15,1,2,1.9,6,61,1,2.0,7,3,5,0,1.0,26,20,1.6,1.7,1.9,2,8.0,6.6
875,18,2,0,3.7,7,64,0,1.4,3,10,5,0,0.9,148,16,2.1,2.8,1.7,7,6.2,10.0
876,16,0,5,6.7,4,85,7,1.2,8,7,1,1,2.1,115,5,2.2,1.7,0.9,4,4.7,10.0
877,14,2,5,4.5,5,95,3,0.0,1,6,4,0,1.0,27,18,2.6,1.8,0.8,4,9.2,10.0
878,18,2,1,7.8,8,61,1,0.5,1,3,2,1,1.1,89,18,2.9,0.5,0.8,1,8.8,10.0
879,16,1,5,4.1,6,61,6,0.2,3,7,10,1,1.3,46,12,2.7,2.6,0.8,1,4.4,9.6
880,16,0,0,5.0,6,53,0,1.6,1,4,8,0,0.6,85,5,3.5,0.8,1.1,9,6.6,9.0
881,15,2,1,1.3,7,77,1,0.0,8,10,4,0,1.6,106,16,2.6,1.7,0.2,2,5.9,7.2
882,18,2,0,10.6,6,79,6,0.2,4,5,5,0,0.5,97,20,1.0,1.8,2.2,1,7.4,10.0
883,14,2,5,4.7,5,65,10,2.2,8,4,5,0,1.5,125,13,3.3,0.4,0.1,10,7.9,10.0
884,19,2,1,7.1,3,91,7,1.4,7,4,10,0,1.3,67,5,2.7,1.2,1.0,1,4.1,10.0
885,18,2,4,7.3,3,83,9,0.7,5,8,6,0,1.1,20,19,2.7,0.9,1.6,8,4.4,10.0
886,16,1,3,6.6,7,60,0,0.5,5,2,9,1,1.1,66,13,2.6,1.1,0.1,6,6.2,10.0
887,18,2,4,4.1,5,54,1,0.2,7,9,9,1,0.7,31,11,3.1,0.9,0.7,8,7.7,8.4
888,16,2,1,6.6,5,58,6,1.7,3,10,3,1,2.3,83,9,2.7,2.8,1.7,6,6.2,10.0
889,19,0,5,4.2,7,98,2,1.3,10,1,8,0,0.3,65,5,3.2,1.9,1.0,7,14.0,7.9
890,13,0,2,8.2,6,50,6,0.9,6,7,1,0,1.2,22,7,1.4,0.7,1.4,3,3.1,8.7
891,14,0,4,6.5,4,90,10,1.6,8,7,4,0,1.1,46,13,3.0,1.3,0.0,9,8.7,10.0
892,14,1,0,4.3,8,61,10,0.0,2,1,8,1,1.1,147,9,1.9,1.1,0.0,10,4.2,7.8
893,16,1,0,4.7,4,90,1,1.0,3,3,5,1,1.8,101,12,2.1,1.6,1.2,6,6.4,10.0
894,16,0,3,6.6,5,51,3,0.7,2,3,10,1,1.5,114,11,2.1,1.9,0.9,9,4.1,10.0
895,15,1,0,5.6,8,70,6,0.3,7,10,8,0,1.1,128,15,2.0,2.3,0.9,3,7.2,10.0
896,19,1,2,4.4,6,76,2,0.8,3,2,3,1,1.4,58,7,3.6,1.0,0.7,8,6.0,8.5
897,19,0,3,3.1,5,53,10,0.4,3,7,5,1,0.5,46,16,3.2,2.1,0.5,3,4.6,9.7
898,15,0,4,4.3,6,93,8,1.1,2,10,9,0,1.9,74,12,3.1,0.2,0.5,3,2.9,8.1
899,13,1,5,7.4,4,97,1,1.7,4,5,5,1,1.7,69,6,1.1,1.4,0.2,5,2.3,10.0
900,14,0,3,6.2,5,65,9,1.0,8,3,6,0,1.0,104,8,1.7,2.6,0.9,1,6.2,10.0
901,19,1,5,4.3,5,88,7,2.1,10,3,6,0,0.7,126,9,2.4,1.2,0.8,3,6.0,9.3
902,16,2,2,6.5,4,71,5,0.0,7,2,9,0,1.0,138,13,3.6,0.5,0.5,10,5.2,10.0
903,15,1,4,3.4,8,86,9,1.4,7,8,6,0,2.4,43,13,2.5,2.2,1.2,3,3.4,7.1
904,16,2,2,4.9,6,56,1,0.9,2,7,5,1,0.6,86,11,2.8,2.0,0.7,5,8.7,10.0
905,18,2,1,8.7,5,86,0,0.7,1,8,6,1,0.7,141,19,2.2,0.4,0.0,4,5.2,10.0
906,16,0,3,8.2,5,65,6,1.7,3,10,7,1,1.3,90,10,2.6,1.7,1.5,2,4.0,10.0
907,16,0,1,5.7,6,69,10,0.0,3,10,3,0,0.7,57,9,3.0,0.6,0.8,10,8.0,9.0
908,13,2,2,6.6,4,80,9,0.8,3,4,3,1,0.8,144,6,1.4,2.3,0.8,6,6.3,10.0
